doc_id,prompt,response,emotion_raw,emotion_label
0,"I heard this strange crash noise in the garage. I thought it might have been an intruder, but it was a raccoon! ",oh that is pretty terrifying! what caused it?,afraid,anxiety
1,Riding coasters next week :/,that is what everyone says but they are scary. maybe if i try one i will like them!,afraid,anxiety
2,I am a unhappy that  there is nothing I could do to help,i had very little and a neighbour was asking me to help him pay his rent,afraid,anxiety
3,"Wasn't able to register for one of the classes I need to be on track to graduate in my last year of college. Have to contact the school and see if they'll be able to make an exception and squeeze me into a full class, or I don't know what I'll do.","was not able to register for one of the classes i need to be on track to graduate in my last year of college. have to contact the school and see if they will be able to make an exception and squeeze me into a full class, or i do not know what i will do.",afraid,anxiety
4,I got pulled over and almost got a ticket.,he said i was speeding but i was really nervous.,afraid,anxiety
5,I was so scared of my uncle. He is so mad at me for not graduating.,you are right but my unle is a simple man and he gave me a warning about me not graduating.,afraid,anxiety
6,I am scared that I might not have enough money for food next month,"oh that sucks, i know how that feels, its why i got an extra job online",afraid,anxiety
7,I was walking my dog and a stray dog ran up to us and started barking. Next thing I know he was trying to fight with my dog. ,i was walking my dog and a stray dog ran up to us and started barking. next thing i know he was trying to fight with my dog.,afraid,anxiety
8,"Due to recent debt that I have accumulated through credit cards, my credit score has seen a significant decline. I am very concerned it might impact my credit trustworthiness","to be honest, i have invested considerable amount in cryptocurrency market. i am hopeful for them to lift me out of financial burdensome",afraid,anxiety
9,"I was walking home one night and I saw some guy standing next to a wall, luckily he didn't have any bad intentions. I was freaked out","i was walking home one night and i saw some guy standing next to a wall, luckily he did not have any bad intentions. i was freaked out",afraid,anxiety
10,A robber held me at gun point ,"i was so scared, he demanded i give him my phone and wallet.",afraid,anxiety
11,Our home was broken into when we moved in and I felt this way.,oh no! i know how violated that can make you feel - did they ever get caught?,afraid,anxiety
12,"When I was little, I was afraid of the dark.",were you afraid of the dark?,afraid,anxiety
13,i was scared to walk home the other night,i was scared to walk home the other night,afraid,anxiety
14,Once I studied really hard for a physics quiz and then I tried to set an alarm to wake up for it. Instead I slept through it and thought I was gonna get a zero on the quiz.,yeah i lied to the professor and he let me do it later that day.,afraid,anxiety
15,"I'm scared of the dark, but I have to walk home from work in the dark. It is really nerve wraking. ","i am scared of the dark, but i have to walk home from work in the dark.",afraid,anxiety
16,I was home alone and someone was in the carport looking in a window,i was home alone and someone was in the carport looking in a window,afraid,anxiety
17,i was scared to walk home the other day,we live on a big plot of wooded land,afraid,anxiety
18,I was wondering around a abandon building once. I started to hear banging and crawling in the walls. I couldn't move a inch.,so i was exploring some abandon buildings one day.,afraid,anxiety
19,I keep hearing noises outside my window. It sounds like scratching.,should you call the police or something? i hate being home alone for this exact reason.,afraid,anxiety
20,We had some storming last weekend. It was pretty scary,we had some storming last weekend. it was pretty scary,afraid,anxiety
21,I was nervous when it was raining real bad last night. I hate storms,i was nervous last night during a storm. i hate when it rains hard,afraid,anxiety
22,There was a loud sound from the bedroom.,it was just mumbling get out of my house i was so terrified!,afraid,anxiety
23,I am afraid of who will move in next door to me.,no. i never have decent neighbors so i am expecting the worst.,afraid,anxiety
24,"Last week, when I was going to the office, I stopped by a cafe to get a coffee. There I saw a young man watching angrily at me. He even has a gun in his hands. I was very much frightened.",last week i got very much frightened,afraid,anxiety
25,My hamster got out of its cage and I haven't been able to find him. I hope he's ok and hasn't gotten hurt,i am sorry. i hope you find it.,afraid,anxiety
26,I was camping last weekend in a tent and I heard some animal walking outside our night one night. When I woke up we seen these large footprints that were nothing like any animal we've seen before.,i was camping last weekend and i heard an animal walking around outside out tent in the middle of the night.,afraid,anxiety
27,"I have pain in my stomach for about a week now. By reading what is on the internet, I am very worried.",what is going on? have you seen the dr?,afraid,anxiety
28,"When a tornado warning came on the screen, I was scared. I thought it was coming for us","i have, they are not fun",afraid,anxiety
29,last night I heard a windows shatter in my house and i was home alone. ,"oh man, i hope everything is ok , and it was something mildly annoying like a tree limb.",afraid,anxiety
30,Roller coaster riding next week,we are going to the amusement park! i have never rode a coaster before! kinda scary !,afraid,anxiety
31,"Yesterday, I was crossing the street and the person in front of me was hit by car which didn't stop at the red light",o no! that is a terrible thing to have happen or see.,afraid,anxiety
32,"My nephew was racing around our house, and fell head first into the corner of a bookcase.  There was a ton of blood and I had to take him to the ER.  Luckily, it was better than it looked and it wasn't a huge deal.","my nephew was racing around our house, like he has a million times before, and someone took a bad fall into the corner of a bookcase. i had to take him to the er.",afraid,anxiety
33,someone trying to harm me,yesterday a stranger tried to rob me,afraid,anxiety
34,My stepmother just passed away and I am concerned about my dad,well my stepmom just died last week and i am concerned for him greatly,afraid,anxiety
35,i was scared to walk home alone yesterday,i was scared to walk home alone yesterday,afraid,anxiety
36,Afraid of my dog dying,my dog is years old. he is my little boy. i do not know what i would do if i lost him.,afraid,anxiety
37,I lost the money pouch for the deposit at my job the other day.,there was nothing i could do. i told my boss and he kicked it up to the regional bosses. i am suspended and just have to wait to see if i can keep my job,afraid,anxiety
38,I'm scared because both of my parents will not be with me too much longer.,i am getting scared because both of my parents will not be with me too much longer. they have both got dementia.,afraid,anxiety
39,i am pissed that someone put a dent in my door,no they didnt leave anything except for the dent,angry,anger
40,I recently discovered that my wife of 15 years is cheating on me.  She has been seeing my best friend of 20 years.  I am devastated.,"my wife has been cheating on me, worst yet is that it was with my best friend of years.",angry,anger
41,"Before my birthday, my boyfriend tried to get me to pick menu items that everyone could eat--including him. This meant I picked place that served only chicken because it's the only meat my boyfriend can have due to his digestive/health issue. Of course, I got anxious and upset because the place I picked was serving healthy food--my preference--but the serving sizes were missing and I couldn't tell what ingredients were in what; this lead to us arguing.","ah, i see. well i hope it at least got worked out for you guys",angry,anger
42,my room mate will not clean anything. It is so ridiculous.,my roommate will not clean anything.,angry,anger
43,I am so mad at the republicans.,do you think they are messing up the country?,angry,anger
44,i cant stand when i let someone out in traffic and i dont get a wave or anything. it really drives me crazy,do you ever road rage them?,angry,anger
45,My cat vomited on my favorite shoes and I was so mad about it.,yea they seem to know what you care about and try and ruin it.,angry,anger
46,my neighbor's cat keeps pooping on my balcony,"thaqt is too bad. i like cats, but not the mean ones, only the sweet ones. what does the cat do that is so bad?",angry,anger
47,My manager keep lying about a promotion that he promised.,my manager keep lying about a promotion that he promised.,angry,anger
48,"One of our friends got a call from the school that her 11 year old wasn't at school, and it turned out to be a mistake. Glad, but upset at the false alarm.",yea that would not of turn out great.,angry,anger
49,when i found out my wife cheated on me ,i found out my wife cheated on me recently.,angry,anger
50,I have been without water for two days.,thats the thing. i have not bathed in two days and its making me angry.,angry,anger
51,My mom yelled at my girl friend for something that wasn't worth yelling about.,yes! my mom is crazy.,angry,anger
52,I need a root canal.,oh no! have you ever had one before?,angry,anger
53,I was on a train in Sri Lanka. I asked the passengers if I was at the right stop. They told me no. Turns out I was at the right place.,i was on a train in sri lanka. i asked the passengers if i was at the right stop. they told me no. turns out i was at the right place.,angry,anger
54,i was pissed when i saw someone had dented my car door,i was pissed when i saw someone had dented my car door,angry,anger
55,My mother in law cannot mind her own business.  She always tries to bend my husband's ear to her way of thinking we should do things.,my mother in law cannot mind her own business.,angry,anger
56,My supervisor belittled me in front of all of my coworkers in a meeting.,my supervisor belittled me in front of all of my coworkers in a meeting.,angry,anger
57,"A colleague at my job took credit for months of my work and claimed I was of no help to them. It all worked out as it should have in the end, but that's never an easy situation.",ugh i hate crap like that. why cannot credit be shared? does it always have to be so cutthroat?,angry,anger
58,I wasn't happy today when someone ran in to the back of my moms car.,wow! that is aweful. is your mom ok?,angry,anger
59,I can't beleve I only got half of the maximum for my raise?,last week everyone got raises,angry,anger
60,I get mad at overtly superficial people.  They're nice to you in person but talk crap behind your back,i call them hypocrites. they take advantage of people whenever it suites their needs. cannot stand the presence of such people,angry,anger
61,I am so mad at what Andrew Cuomo said.,who are these people you refer to?,angry,anger
62,I can not even think about losing any more money!,"i have thought about it, but unable to",angry,anger
63,I lost my job yesterday,i lost my job yesterday.,angry,anger
64,I really do not like the new text and drive laws.,"yes, and i never got into any accidents.",angry,anger
65,"I remember the time when I was madly raging, that I smash a 40oz beer on the street floor scattering all glass pieces over. That was after I lost $500 in gambling. ","i remember the particular time when i was a madly raging, that i smashed a oz beer on the street floor scattering all glass pieces over.",angry,anger
66,I am angry that the person I live with still doesn't like paying bills. You have to pay bills to have things. That is how life works.,"i am sorry, roommates can be annoying sometimes",angry,anger
67,"I am super frustrated that someone I know keeps ruining their life. They keep repeating the same bad mistakes to destroy everything, anytime anything good happens.",i am super frustrated that someone i know keeps ruining their life.,angry,anger
68,My dogged pooped in my neighbors lawn. It becomes a habit for him,oh no! was your neighbor upset about it.i bet your embarrassed.,angry,anger
69,"I ordered a product with express delivery, and it was delayed for a week!","oh yea, i have had it happen a few times. it is even worse when they lose the package for a while",angry,anger
70,I do not like walking my kids to school. There are way too many hills. I wish t car worked,my car has worked in months and now school has started,angry,anger
71,MY ex didn't show up to court again. He is always wasting my time.,the other party did not show up so they put out a warrant for him. i do not have to go back now.,angry,anger
72, I was driving to work today. I was very late and then a slow driver got in front of me. They made me even more late!,i was so late for work and trying to drive fast to get there.,angry,anger
73,Bought a laptop I really needed last month. The price went down by $200. Wish I would have waited.,bought a laptop i really needed last month. the price went down by . wish i would have waited.,angry,anger
74,my brother flushed my fish down the toilet for fun,"yes, he flushed him on purpose, i was destroyed",angry,anger
75,How can I not be when she is only 14 years old,how can you not be what?,annoyed,anger
76,My landlord is boring everyone in the building. He is here every day asking questions.,my landlord is boring everyone in the building. he is here every day asking questions.,annoyed,anger
77,my computer wont ever work like I need it too. but I cant buy a new one.,you must use it a lot. you will understand it soon,annoyed,anger
78,I got behind a slow driver on my way to work. It ticked me off because it made me late to work.,"she did, but it was still really frustrating.",annoyed,anger
79,I get annoyed when I see over weight people,i think they like what they see.,annoyed,anger
80,My cat vomited on my shoes the other day,my cat vomited on my shoes the other day,annoyed,anger
81,I am so tired of being late for school every day. It is because I have to wait for my sister to get ready and she takes forever! I would rather ride the bus!,i am so sick of being late for school everyday. it is all because of my sister!,annoyed,anger
82,One my coworkers has been showing up late everyday for almost a month. It's making a lot more work for me.,"aw dang, that must really be pain for you. have you talked with anyone else about this? i am sure other people are having problems with this coworker also .",annoyed,anger
83,Someone cut me off in trafic a few days ago.,why are people so inconsiderate. are you ok?,annoyed,anger
84,"Once I was running late for my flight, and was in a really long line to check my bag. It was almost my turn and this lady cut right in front of me! ",i totally know that feeling. it seems that everyone thinks that their situation is more important that everyone else is.,annoyed,anger
85,My neighbor is asking to borrow stuff from me.  It gets so irritating.,my neighbor is asking to borrow stuff from me.,annoyed,anger
86,"My friend is literally changing his moving day, so that I can help.  I had to work on the first day, so he changed it...","my friend asked me to help him move one day, but i was working that day.",annoyed,anger
87,My mom makes me babysit my nephew all the time. I am sick of it. He is a brat.,i would not want to be in your position it is ok to help but all the time it can be dreadful.,annoyed,anger
88,I got annoyed the other day when a woman was walking her dog. It had an extendable lead and was blocking the pavement,it probably is better for the dog. but the owners are not always responsible. where i live they use them on the sidewalk and block off the whole area for other people walking.,annoyed,anger
89,none of the girls at school like me.,"i try my best, i just need to wait and it will come.",annoyed,anger
90,I am not happy at how I am treated because of my orientation to life,i am not happy at how i am treated because of my orientation to life,annoyed,anger
91,I stepped in gum someone spit on the side walk,i stepped in gum someone spit on the side walk today.,annoyed,anger
92,My coworker left early on me today and left me with a ton of work. I can't believe he always gets away with it.,oh i bet that is frustrating! can you report it to someone?,annoyed,anger
93,MY kids never go to bed at a decent time.,i am so upset with my kids.,annoyed,anger
94,My teacher wouldn't pick on me when I was raising my hand over and over. Made me feel anxious.,i am not sure. maybe it was because i usually answer all the question. i felt quite peeved.,annoyed,anger
95,I have to take off work tomorrow to wait on a repair man to come to my house.,my new ac unit is leaking... i have got water dripping from my ceiling.,annoyed,anger
96,I cant believe my daughter drank my last dr pepper. She knows I can't live with out them,it is. it is mu cigarette dipped in coffee. and my daughter drank my last one!,annoyed,anger
97,I went to the gym the other day and I forgot my workout shoes. I had to drive all the way home in rush hour to get them.,so i got all the way to the gym the other day and realized i did not pack my gym shoes. i had to drive home in rush hour to go get them. i was ticked.,annoyed,anger
98,"I ordered a meal from a restaurant, and when I went there to pick it up they claimed they never received it. I was really upset, and they did not offer to correct the situation.","sorry about that, seems their customer service is not welcoming",annoyed,anger
99,My paper boy never brings my paper on time.  I get so irritated by that.,ah! that must be so frustrating. you should speak to him about this.,annoyed,anger
100,"They've been doing road work outside my house all week! It just goes on for 12 hours straight everyday, mostly at night!",are they almost done with it?,annoyed,anger
101,my sister ate all my snacks that i  bought yesterday,my sis ate all of my snacks yesterday,annoyed,anger
102,"I recall this time when I was making a pizza and I got an important call from my boss. I had to talk with him for about 15 minutes and when I came back, I realized the pizza had been burnt in the oven. I was very annoyed because I worked hard to make it!","we had to order from a fast food chain! it was not bad, but fair to say, my nephew was disappointed in me.",annoyed,anger
103,I had an issue with my credit card and they put me on hold for 45 min before I even spoke to someone!,yes i spent more time on hold than speaking to a represaentative,annoyed,anger
104,In the queue at the supermarket,"that makes sense, but i guess everyone needs food!",annoyed,anger
105,I have an older sister that is always comparing our kids as if her kids are smarter.,"oh wow, that is kind of rude.",annoyed,anger
106,I'm aggravated that I don't earn more.,i am annoyed that i do not earn more.,annoyed,anger
107,I work all day long and my teenagers have been home all summer.  But when I get home they've not done anything around the house.,"well, i hope so - but i just wish they would clean up a bit when they are home.",annoyed,anger
108,Sometimes I'll have a song stuck in my head for hours,sometimes i will have a song stuck in my head for hours,annoyed,anger
109,"I asked my son to do the dishes. He said he had to play his video game and he would do it later. Well, he never did them.",that is definitely my plan. he will learn there will be consequences for his failure to listen.,annoyed,anger
110,i hate when people tell me what to do ,i do not think anyone should have the power or the right to tell you what is good for you if you did not ask for help.,annoyed,anger
111,MY kids just got back and now the house is no longer quiet. I cant stand them sometimes,are they being loud and annoying like usual?,annoyed,anger
112,I don't like people who cut in line,"it is like they think your time is worthless, i do not understand it",annoyed,anger
113,I am taking a trip to my hometown soon! It has been so long since I've been there!,cool! where are you from?,anticipating,joy
114,I'm planning on going to this really fun party tonight after work. I can't wait to finally get there and have time to hang out with my friends!,it should be a lot of fun. maybe i will even find a new girlfriend there.,anticipating,joy
115,I am going on a cruise in November. I've been planning this trip for six months.,so i have a vacation coming up in a few months.,anticipating,joy
116,i cant wait for my new raise to kick in!,congratulations! i wish i could get a raise.,anticipating,joy
117,I'm so excited to see the next Star Wars movie. I love that franchise!,i love star wars. i cannot see the next movie that comes out next year!,anticipating,joy
118,I'm so ready for the weekend. I'm going camping. ,"yes, i have! i have planned several trips like this.",anticipating,joy
119,i've got a doctor's appointment tommorow that i've been worried about all week,oh no. whats wrong? why are you going?,anticipating,joy
120,"Im so waiting for my new car, and cant wait to go pick it up. ","its a jeep, i love jeeps. compass",anticipating,joy
121,I'm really excited that football season is right around the corner. I'm ready to see what my favorite teams will do this season. ,"me, too! do you have a favorite team?",anticipating,joy
122,My husband said he is buying me a new car for my birthday. I can't wait! ,wow! do you know what kind of car you are getting yet?,anticipating,joy
123,I can't wait for the movie Mile 22 to come out. I love seeing UFC fighters in movies!,i cannot wait for the movie mile to come out. i love seeing ufc fighters in movies!,anticipating,joy
124,I invested pretty heavily into cryptocurrency. I'm anxiously awaiting to see how it pans out.,that is a good position to be in. there have been millionaires made in crytocurrency.,anticipating,joy
125,Going camping next weekend. I haven't hung out with my friends in so long.,going camping next weekend. i have not hung out with my friends in so long.,anticipating,joy
126,I cant wait for the NFL season to start,nice. i grew up as a redskin fan and hate the cowboys,anticipating,joy
127,I am expecting to get a big bonus. I hope it happens!,oh i hope you get it! it can really help out or just be a splurge,anticipating,joy
128,My dog is coming home from doggy day care.  I can't wait to see him.,my dog is coming home from doggy day care.,anticipating,joy
129,I have a dentist appointment next week. I am not looking forward to it.,ut oh.. are you nervous?,anticipating,joy
130,My grandma went into the hospital we are not expecting the best news,"that is terrible, i hope everything is ok",anticipating,joy
131,"In the months before my move across the country , it was all I could think about and the days felt so short.","im sure it is, this is when you put all your hard work into play",anticipating,joy
132,"I cannot wait for the newest Pokemon game, it looks amazing to me!",those games do seem fun,anticipating,joy
133,I can't wait for the weekend.  I am going to Disney World in Florida.,"yes it is. i live in orlando, but rarely go to the attractions so its long overdue.",anticipating,joy
134,"i cant wait to play the new madden, ive been waiting months for this","heck yeah! i myself have never been into madden, more of a nbak guy.",anticipating,joy
135,I can't wait for the new season of this is us. That is the best drama out there.,it is. it is literally one of the best shows i have ever seen and i have seen plenty.,anticipating,joy
136,I'm getting a shipment from my mom. I'm so excited!,i am getting a shipment from my mom. i am so excited!,anticipating,joy
137,School starts tomorrow and I can't wait!,i honestly do not understand the whole concept of homeschool..like why???,anticipating,joy
138,I know I'm going to get fired tomorrow.,"i got an email from a friend at work that knows the boss, and he said the boss told him i am toast. the boss has hated me for years. maybe i should call in.",anticipating,joy
139,I can't wait to be off work,it is so boring. at least i am getting paid i guess,anticipating,joy
140, I can’t wait until my nephew gets to come over.,he is little. we will probably do a lot of bouncing and take walks,anticipating,joy
141,Back in the day I really wanted Halo 3. I waited all night for it and got in the store really early.,i waited all night on the day that halo came out. i was so excited.,anticipating,joy
142,ready for a vacation. ready to get out there and relax! ,i really can not wait to go on vacation.,anticipating,joy
143,I just ordered some hot wings. I cant wait til they get here,they sell them in mild too!,anticipating,joy
144,My parents always taught me the value of patience.  A couple of Christmases ago I woke up on xmas eve to see if gifts were there but there was nothing...then the next day I got an xbox 360,i have a xbox .,anticipating,joy
145,I'm looking forward to the new Mexican restaurant opening up.  I just can't wait.,"o that sounds delicious, any idea what you will get?",anticipating,joy
146,I cant wait for saturday to get here!,i cant wait for saturday to get here!,anticipating,joy
147,I'm looking forward to going on my vacation next week to the Bahamas. It's been awhile since I've had one.,just relax and take my mind off work. we will be staying at an all-inclusive beach resort!,anticipating,joy
148,I could not wait till my brother got home last night. We were going to get steaks,i could not wait till my brother got home last night. we were going out to eat,anticipating,joy
149,It was my sixth anniversary the other day. I was pretty sure my boyfriend was planning on proposing. For a couple of days leading up to the day I was so excited I could hardly wait.,my boyfriend and i celebrated our sixth anniversary the other week. i was pretty sure he was planning to propose because of the nice plans he had made- and he was. for a couple of days leading up to it i was so excited and just could hardly wait.,anticipating,joy
150,I have an exam and cant help but feel something bad will happen.,what could go wrong when you are taking an exam?,anxious,anxiety
151,"A couple weeks ago, I was up for selection for a promotion at my job. I have been preparing for the promotion for the past couple of months. The days leading up to the promotion board were very high strung and I was very anxious.","actually, it is not great, if you read what i said. how are you my friend if you do not even read what i say? perhaps i will pick it up next year.",anxious,anxiety
152,I am very anxious this weekend as someone I was trying to fix a relationship with is acting up again. I just get a lot of anxiety about what they will pull next because they usually do pull something.,that is very difficult. i wish you will find a solution.,anxious,anxiety
153,"I lost my medicine today, one that helps me focus my attention span. I needed it especially because I had a job interview that I wanted to be sharp for. I felt weird during the interview, and now I don't know how I did...","yeah, it does. thanks. and i am not sure! you can never tell with those things. they take their sweet time contacting you back while you agonize. sometimes they forget to even send you a reply at all! but maybe i am overreacting.",anxious,anxiety
154,I am feeling uncomfortable in my body today. I am not sure why...but ever since my body changed so much in pregnancy..and I am having to work so hard to get it back to normal..somedays I am just uncomfortable and don't want to wear anything and I don't want to go out.,oh no. what is going on?,anxious,anxiety
