emotion,user_message,assistant_reply,bad_reply,self_focused,empathetic
sentimental,"I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people, we felt like the only people in the world.","Was this a friend you were in love with, or just a best friend?",False,False,True
sentimental,This was a best friend. I miss her.,Where has she gone?,False,False,True
sentimental,We no longer talk.,Oh was this something that happened because of an argument?,False,False,True
afraid,it feels like hitting to blank wall when i see the darkness,Oh ya? I don't really see how,False,False,True
faithful,Yea it hasn't been easy but I am proud I haven't,What do you mean it hasn't been easy? How close have you come to cheating?,False,False,True
terrified,Yes but if you stay calm it will be ok.,It's hard to stay clam. How do you do it?,False,False,True
joyful,"Hi, this year, I was the first over 300 students at my enginering school",Sounds great! So what's your major?,False,False,True
sad,"During christmas a few years ago, I did not get any presents.","Wow, that must be terrible, I cannot imagine, I lvoe christmas",False,False,True
sad,"Since that day christmas has not been a good time for me. As I have no family, christmas is always the worst.","Wow, I am sorry to hear that, I wish I could make it a better holiday for you!",False,False,True
prepared,I had to board my entire house when the hurricane was coming.,WOW! Did it do any damage?,False,False,True
prepared,No luckily the house was ok.,That is great. I would have been scared to death. Was it recent?,False,False,True
angry,I never thought things would go like this.,What happened for you to feel that way?,False,False,True
angry,I was at the beach and a hurricane changed track and was coming straight at us. My boyfriend didnt want to leave because we were on the second day only of our vacation.,Oh that does sound terrible. What did you guys decide to do?,False,False,True
annoyed,"Hi, I have a co work always asking me questions about how to use her mobile. It is almost always the same questions.",It must be so frustrating to have to answer the same thing over and over. Is she older?,False,False,True
angry,I worked on my truck all weekend. Spent $215 on parts and a special tool. Still did not fix the miss in the engine.,What is the problem with the engine?,False,False,True
proud,"I'm not familiar with abseiling, but I'm glad that you felt good about it.","absailing, its when you rappeling down a building. What have you down that amazing?",False,False,True
proud,"Oh, I see. No, I've never done that.",so what have you done?,False,False,True
sentimental,I have a ton of backyard space that we have plans for. Camping would be a fun one.,That's wonderful. Do you have any plans to have a fire?,False,False,True
joyful,Planning out my new home has turned out to be a blast!,What kind of house are you building?,False,False,True
joyful,I just moved in so it is already built. Just working on planning out decorating and appliances and such.,That sounds great. What are you most excited for?,False,False,True
ashamed,I never took a drink before and my friends were all over me to take a drink,Why did you feel guilty for taking a drink?,False,False,True
ashamed,Yeah I did to my mum and dad...When I started vomiting I mess my dress and mum knew.,"Oh yea I can understand that then... Well I am sure you learned your lesson, right?",False,False,True
guilty,I was only married for 4 weeks when I learned my husband was having an affair and ongoing after the wedding. I got him back by sleeping with a close family friend. I felt guilty and ashamed because it was out of character.,Yeah that sounds really sad. I am sorry for what you went through.,False,False,True
nostalgic,I don',"That is good, I am glad you have no regrets!",False,False,True
annoyed,Do you have any irritating coworkers?,"Yes, I think that everyone does! What about you?",False,False,True
guilty,"Hi, I broke a statuette offered by grandmother to my sister. It was a very important object for my sister.","Is it not better you replace it with same type of statuette,at a grocery store?",False,False,True
furious,"Imagine ,I requested a French fries ,but was served burger instead!",It is very bad service. What did you do? Did you complain to the manager?,False,False,True
terrified,Hi I was recently on vacation and frightened half to death.,"Oh, my, what happened?",False,False,True
