text,label,source
best friend left europe. gone 4 years.,sad,empdial
"anyone hear hillary clinton talk, feel sick stomach.",angry,empdial
one friend seemed like hopeless women. randomly got girlfriend shocking me.,anxious,empdial
so mad sister law. took money ex brother law gave kid got chest enhancement.,angry,empdial
ordered half pound turley lady deli gave roast beef. notice got home. terrible,angry,empdial
finally get go vacation next week. so stoked. looking forward long time.,joyful,empdial
went walmart someone pushed shopping cart car. really angry it.,angry,empdial
daughter went mission trip ky worked lot kids. came home louse tell mission trip group went so could tell parents. felt like crawling bench.,sad,empdial
really like new snes classic system. reminds used play classic video game kid.,content,empdial
coworker got promotion wanted,angry,empdial
finally finished phd thesis.,joyful,empdial
found yearbook graduated,content,empdial
son really act like jerk night get nap.,angry,empdial
possom waiting outside door.,anxious,empdial
spent lot time alone child.,sad,empdial
"accidentally left dog outside heat too long week ago almost got heat stroke, felt really bad.",sad,empdial
always faithful loyal girlfriend almost 3 year,content,empdial
"previous job, laid off. felt like everything around failling apart. felt terrible bad cried.",sad,empdial
going new york friend next weekend. never been.,joyful,empdial
remember first date. disaster funny looking back,content,empdial
big plan weekend go orlando. very excited.,joyful,empdial
neighbor always interrupt talk. so irritating me.,angry,empdial
going skydiving tomorrow,anxious,empdial
kid best. get excited everything. think good ones.,joyful,empdial
thinking childhood day feel so lucky. raised good family love many old memory have.,content,empdial
learning husband 4 week cheating him. not marriage found text contacting sex after. make worse slept close family friend his.,sad,empdial
can't stop thinking christmas here. love new year come right that.,joyful,empdial
hate seeing people load money. bad,angry,empdial
mcdonalds got order wrong again. im going complain.,angry,empdial
cannot wait till tonight. going tattoo event,joyful,empdial
chance storm tomorrow hope get anymore close flood recently!,joyful,empdial
almost time school everything need! can't wait,content,empdial
coworker come work late everyday take million break,angry,empdial
getting married,content,empdial
parent gave best birthday present ever.,joyful,empdial
seeing so many instance abduction so close horrifying,anxious,empdial
child normally student worked really hard got b honor roll. knew could it.,joyful,empdial
pet turtle apparently died 2 week ago. told parent holding away.,sad,empdial
so lucky able keep thing afloat roomate left. pretty happy.,content,empdial
ready fall festival.,content,empdial
buddy threw car.,angry,empdial
hoping win lottery today quit job!,joyful,empdial
friend told wife triplets. not expecting it.,anxious,empdial
scared going home alone night,anxious,empdial
woke morning cat literally top face right face staring like wanted something. got saw indeed forget feed last night. little bugger thought would catch guard.,anxious,empdial
going six flag tomorrow. so hyped!,joyful,empdial
two week vacation coming really excited it.,joyful,empdial
"birthday last weekend, no one wished happy birthday.",sad,empdial
