Unnamed: 0,Situation,emotion,empathetic_dialogues,labels,Unnamed: 5,Unnamed: 6
1420,I had a great day at work today, I really killed it!,confident,"Customer :There are many different variables that need to be taken into account-- things that I don't usually deal with on a day to day basis.  But my extra prep at night has made it so that it's seeming easy.
Agent :","Well that's really great that you were able to prepare so much, obviously you know what you're doing! Do you usually have to prep so much?",
1422,I had a great day at work today, I really killed it!,confident,"Customer :Well that's really great that you were able to prepare so much, obviously you know what you're doing! Do you usually have to prep so much?
Agent :",Not usually, this is an unusual case!
1419,I had a great day at work today, I really killed it!,confident,"Customer :I had a great day at work today!  We are working on some pretty complex accounting, and I've had to do a lot of prep at night. 
Agent :","That's really awesome, what makes it so complex?",
1421,I had a great day at work today, I really killed it!,confident,"Customer :That's really awesome, what makes it so complex?
Agent :",There are many different variables that need to be taken into account-- things that I don't usually deal with on a day to day basis.  But my extra prep at night has made it so that it's seeming easy.,
31743,I am having my first baby, a boy.  I hear all these different labor stories that aren't exactly reassuring!  ,apprehensive,"Customer :I am having my first baby; a boy. I hear all these different labor stories that aren't exactly reassuring! 
Agent :","Congratulations! If it helps at all, my wife and I have two young boys and both of her deliveries with very smooth! She said it wasn't as bad as she expected.",
31744,I am having my first baby, a boy.  I hear all these different labor stories that aren't exactly reassuring!  ,apprehensive,"Customer :Aw, that's so neat. I would love two boys!  I am having a boy!  Oh good, that's another good story for me to hold onto.  I'm not expecting it to be amazing or anything but wow, so many people say they almost died and things. 
Agent :",I think those types of situations are rather rare! The medical field has come a very long way. I'm sure you'll be fine and it'll all be worth it in the end.,
31745,I am having my first baby, a boy.  I hear all these different labor stories that aren't exactly reassuring!  ,apprehensive,"Customer :Congratulations! If it helps at all, my wife and I have two young boys and both of her deliveries with very smooth! She said it wasn't as bad as she expected.
Agent :","Aw, that's so neat. I would love two boys!  I am having a boy!  Oh good, that's another good story for me to hold onto.  I'm not expecting it to be amazing or anything but wow, so many people say they almost died and things. ",
53779,I once was talking about a coworker behind his back.  It wasn't necessarily an awful conversation, but what I didn't know was that he was working in the next room with the door open.  He approached and asked what I had been saying.  I knew I was caught.  I was so disgusted with myself.  ,ashamed,"Customer :Pretty awful, actually.  Especially considering that the coworker of whom I was speaking was in a room just next door with the door open.  
Agent :","Yeah, at least now you're more aware, it can be pretty tough when you're trying to break the habit though",
53781,I once was talking about a coworker behind his back.  It wasn't necessarily an awful conversation, but what I didn't know was that he was working in the next room with the door open.  He approached and asked what I had been saying.  I knew I was caught.  I was so disgusted with myself.  ,ashamed,"Customer :Yeah, at least now you're more aware, it can be pretty tough when you're trying to break the habit though
Agent :",Absolutely.  I really am disgusted with myself.  I don't know why I open my big mouth!,
53778,I once was talking about a coworker behind his back.  It wasn't necessarily an awful conversation, but what I didn't know was that he was working in the next room with the door open.  He approached and asked what I had been saying.  I knew I was caught.  I was so disgusted with myself.  ,ashamed,"Customer :The other week, I was talking about a co-working of mine - okay, I was gossiping..  
Agent :","Hmm, how did that make you feel",
53780,I once was talking about a coworker behind his back.  It wasn't necessarily an awful conversation, but what I didn't know was that he was working in the next room with the door open.  He approached and asked what I had been saying.  I knew I was caught.  I was so disgusted with myself.  ,ashamed,"Customer :Hmm, how did that make you feel
Agent :","Pretty awful, actually.  Especially considering that the coworker of whom I was speaking was in a room just next door with the door open.  ",
28674,Rally time, time to jump on the motorcycle and go cruising!,excited,"Customer :The world famous sturgis rally is this week.  I am going for a ride on the motorcycle tonight to check it out!
Agent :",I have never heard of that,
28675,Rally time, time to jump on the motorcycle and go cruising!,excited,"Customer :Huge motorcycle rally near mt rushmore in south dakota
Agent :",oh cool. I never been to any kind of motorcycle event,
28676,Rally time, time to jump on the motorcycle and go cruising!,excited,"Customer :I have never heard of that
Agent :",Huge motorcycle rally near mt rushmore in south dakota,
