text,label,source
not speaking sister law due lack interest relationship side.,sad,isear
saw younger sister bothered boy not know.,angry,isear
sister coma 3 month due train accident . brainfunctions disturbed. never able walk hardly talk.,sad,isear
"drunken friend mine beating another friend, also drunk.",angry,isear
"disco, dirty little chap punched bottom.",angry,isear
made very insulting remark person care very much. event caused third person like person insulted.,sad,isear
sense guilt parent discountinue study first year unpassed exams.,sad,isear
day not worked academic hard enough.,sad,isear
"colleague met elderly man very drunk, approached u started undress.",sad,isear
monday took math 1bs test flunked second time.,sad,isear
"army, result shooting exercise got three day furlough.",joyful,isear
grandmother came stay u permanently very difficult person stay started telling false story u people.,angry,isear
last year worked summer holiday studied time examination repeat boyfriend went greece holiday month.,sad,isear
stopped light mangere late one friday night way home work. alone car someone came behind car started banging shaking it. light red nowhere go light changed. green took off.,anxious,isear
no description.,angry,isear
spanked child anger later regretted terribly.,sad,isear
fight best friend.,angry,isear
day real madrid team basket ball qualified final athens.,joyful,isear
"pleasant evening friend flat, one not want leave, wanted sleep me. said fallen love me, felt alone so on.",angry,isear
chatting friends. boy came joined us. boy took 3 friend away left alone shame without knowing go there.,sad,isear
dancing restaurant last week.,joyful,isear
felt very happy heard passed examination move second year course.,joyful,isear
wanted get rid bad habit seemed succeeded. however year later got bad habit again. felt useless always found excuse explain behaviour. result felt guilty.,sad,isear
"girlfriend class was. not well exams, satisfactorily well taken another class leaving behind.",sad,isear
"army, acquaintance mine tended use position advance interests.",angry,isear
first sexual intercourse turned flop. panic ended without erection.,sad,isear
"wanted go house, suddenly big dog standing beside me. hardly moving, not know would react later on.",anxious,isear
mad dad.,angry,isear
"quarrel friend lived flat. moved out. went invited friend drink. last totally drunk smelled disgusting. besides, told lie u behaved pitied.",angry,isear
"farm friend talk discovered friend mine, betrayed boyfriend 3rd friend ours.",angry,isear
"important situation me, father behaved inadequately.",sad,isear
father helping kid fight kids.,angry,isear
unexpectedly got present father.,joyful,isear
"one evening, group friend talk. very trustful joyful atmosphere.",joyful,isear
"sitting exam biochemistry, very excited supplementary examination. passed exam very well glad recovered selfconfidence.",joyful,isear
tiresome person held day long. very busy not remember problem . continously tried make talk disturbed me.,angry,isear
recently got very positive answer clinic telling would willingly assist collect data clinical pilot study.,joyful,isear
"secondary school, prefect framed case took deputy head master. called head master threatened suspend me.",anxious,isear
learned several people died street due cold weather.,angry,isear
year ago one evening people came home told u father badly injured accident.,anxious,isear
extremely sad heard patient taking care hospital passed away. abdominal pains.,sad,isear
finding china backward science.,sad,isear
finding chosen english lectures.,joyful,isear
something wrong past denied done asked later.,sad,isear
went apartment boyfriend saw people door. thought something happened.,anxious,isear
walking alone dark strange street.,anxious,isear
"went pub group friend not very close one girl time, girl group wanted me. stopped talking girl with.",sad,isear
girlfriend away visiting another city brought another girl home. next morning started getting sober felt quite ashamed myself.,sad,isear
call someone make appointment conversation. very afraid fail.,anxious,isear
"exboyfriend threw around dorm talking phone another guy jealous, argument thought broke up.",anxious,isear
unjust punishment friend mine.,angry,isear
cousin passed away.,sad,isear
gone home week end came back found clothes bedding stolen.,angry,isear
"sheer curiosity, went see pornographic movie copenhagen. room full men, panted masturbated. very disgusting.",angry,isear
child born.,joyful,isear
"quite shameless, not applicable.",sad,isear
death pet rabbit. give away brother became allergic it. gave man kept animal lot animal child watch. went visit rabbit. badly beaten rabbit eventually died.,sad,isear
cat ran car came home wounded. could hardly walk. dare go veterinarian afraid would kill him.,anxious,isear
"became disgusted man counted, trusted, man mainstay father. could hardly make others believe emotion. cumulated event deeds. everything happen world.",angry,isear
"people unfairly treated, nationality colour.",angry,isear
wife told refrigerator stopped working.,angry,isear
caught shoplifting police called parent also informed.,sad,isear
st. claus day five year old. st. claus devil servant came see me. st. claus' devil servant rattled chain bowled terribly. so frightened parent ask leave.,anxious,isear
"went job interview, met person very nice, attitude made glad.",joyful,isear
asked throw rubbish dustbin awful liquid accumulated bottom.,angry,isear
"see people burn feel sad, actually not even express feeling think must suffer lot.",sad,isear
younger brother good friend mine died asthma .,sad,isear
thinking seen smoking school teacher waiting summoned headmaster's office.,anxious,isear
saw man heart attack treated it. feared father could there.,anxious,isear
told psychology help people happier.,joyful,isear
"tram fat, sickly looking woman front asking direction thick voice. got go disgusting smell urine came her. felt would choke.",angry,isear
feel disgust people lying. mean say one thing one person thing another way another person make people quarrel among themselves.,angry,isear
friend invite parent graduation ceremony.,angry,isear
story way grandmother treated mother.,angry,isear
"mother looked drawer keep personal thing found porno photo kept week, split it.",sad,isear
love first time.,joyful,isear
"sitting restaurant friends. asked something thought know. actually know it, time not able remember it.",sad,isear
basket ball team lost qualification final.,sad,isear
work petrol station. foreigner want petrol collegues treat very impolite.,angry,isear
meeting said something wrong others laughed me.,sad,isear
parking fine.,sad,isear
death paternal grandmother very close died cancer.,sad,isear
"comsomol ?? meeting, last one graduate. way one fellow student behaved made feel disgusted.",angry,isear
summer sailing friend greece felt joy.,joyful,isear
"friend left without waiting me, arranged go together.",angry,isear
"example, feel bad one's attire, among people not belong social class, give wrong answer class, surprised particular situations.",sad,isear
felt shame asked cousin promised buy birthday present buy front friends.,sad,isear
"disagreement mother. moved kankaanpss, promised help move broke promise hindrance.",angry,isear
saw class leader acting like god chose people go english lectures.,angry,isear
"began date, first gesture affection made feel ashamed.",sad,isear
felt very sad friend mine failed final exam could not accepted institution learning.,sad,isear
teacher's death.,sad,isear
saw insect going arm.,angry,isear
close friend entrusted secret let cat bag.,sad,isear
came know grandmother died. very close me.,sad,isear
currently taking c 50p. finish couple assignment hindered could not get passing score program.,angry,isear
saw tv china gold medal asian olympic.,angry,isear
"state thing great positiveness try convince others, appears statement not right.",sad,isear
finally able return job enjoyed several month absence not needed time .,joyful,isear
saw tv china winning gold medals.,joyful,isear
son's mother told wanted move vienna take child her. mean rather long distance me. whole family sad dumbfounded so feeling intensified.,sad,isear
"went dining hall found cook cleaning plate no food me, blue bird security guard busy eating food supposed me.",angry,isear
imitated teacher behind back walking very silly.,sad,isear
brother hit head lost consciousness sport practice. time could not remember happened recovered later.,anxious,isear
"one afternoon, helping home property, mustering getting cattle bull turned came me.",anxious,isear
"every time imagine someone love could contact serious illness, even death.",anxious,isear
"felt very disgusted friend given psychology book read, not care give back book exams.",angry,isear
forgetting close friend's birthday.,sad,isear
flet shameful learnt cooked nsima full lamp it.,sad,isear
clean draining board saw looked underneath sink live student hostel .,angry,isear
unfaithful partner working abroad long period.,sad,isear
watched horror movie involved sexual attack women.,anxious,isear
friend mine said group felt lonely withdrawn everyone mental deficiency.,sad,isear
school dance supposed best friend kept walking away whenever came near her.,angry,isear
anger boyfriend's best friend alienating blaming personality change boyfriend change boyfriend's attitude obvious egoistical attitude so. also lost one best friend girlfriend.,angry,isear
felt disgust kissed guy know. out boyfriend person appeared nothing me.,angry,isear
"one night, boyfriend expressed love canteen presence friend giving present.",joyful,isear
death general ye jianying.,sad,isear
"heard death frantois truffaut, french motion picture director, radio. planned go see last film.",sad,isear
very close friend left me.,sad,isear
move very different city company father worked also moved place. very difficult make new friend than.,angry,isear
football game made offence towards acquaintance. later acquaintance also tackeled game became very rude.,anxious,isear
"one best friend found lying flat road drunk taken police put cell. went see following morning, place really mess smelling badly. like it.",angry,isear
